French,English
socrate,Socrates
torcher,rocker
chrissy,chrissy
zac,zac
rahl,rahl
mcclane,McClane
seo,seo
lanie,Lanie
tomberont,will fall
décourager,to discourage
attendrait,would wait
échapperas,will escape
concernait,was concerned
desserts,desserts
reconstruction,reconstruction
télégraphe,telegraph
pillé,looted
assassine,murderer
lumineuse,bright
bancs,benches
special,special
interviens,intervenes
troupeaux,herds
bergers,shepherds
intrigues,intrigue
barricade,barricade
multitude,multitude
theatre,theater
échauffer,warm up
paraissez,appear
emparé,chopped
fréquentations,frequentations
sonnera,will ring
embêté,annoyed
obtiendrez,will get
réalisés,made
colére,anger
mème,even
confondu,confused
massacres,massacres
barda,barda
emmêne,storage
atome,atom
irritable,irritable
communes,municipalities
pacotille,junk
fluides,fluid
emblème,emblem
artères,arteries
infectée,infected
gagnerait,would win
fade,bland
farceur,joker
dormes,doring
damas,Damascus
submergé,overwhelmed
charogne,carrion
cueilli,picked
coordination,coordination
affectueusement,affectionately
passants,passers -by
ramènent,bring back
appartenaient,belonged
oubiie,OUBIIE
band,band
fugué,fugue
trouvaille,find
comédiens,comedians
avorton,abortion
quota,quota
olsen,olsen
rocheuses,rocky
gabby,gabby
gracieuse,graceful
tralala,tralala
souligné,underline
passif,passive
judicieux,judicious
clairière,clearing
ingrédient,ingredient
entracte,intermission
choisirai,will choose
haley,haley
temporel,temporal
secundo,secundo
roulement,rolling
tombaient,fell
texan,Texan
roulée,rolled
anéantis,annihilate
datent,date
panse,duck
whitaker,whitaker
mordent,bite
carapace,shell
would,wow
kincaid,kincaid
détendue,relaxed
posés,posed
disparut,gone
rhode,rhode
lafayette,lafayette
addams,Addams
sésame,sesame
routiers,truckers
frimeur,show -off
mijotes,simmer
mobiles,mobile
tuerons,will kill
cutler,cut -off
aristote,Aristotle
dejà,Already
janie,janie
secrétaires,secretaries
fonctionnera,will work
karel,karel
stressée,stressed
cabinets,cabinets
piaf,piaf
hana,hana
collés,glued
ïn,ïn
melanie,melanie
mortalité,mortality
murdoch,Murdoch
scan,scan
clitoris,clitoris
bouse,dung
puff,puff
aspen,aspen
linderman,Linderman
gordo,gordo
franky,Franky
lecter,lecture
carlyle,carlyle
mature,mature
génétiques,genetics
supportais,supported
équilibré,balance
stockage,storage
lime,lime
gelés,frosty
poséidon,Poseidon
livret,booklet
succombé,succumbed
gorges,gorges
continents,continents
navigue,navigate
amene,bring
tombais,fell
laideur,ugliness
gustav,gustav
négliger,to neglect
vinrent,came
arracherai,will tear off
détruirai,will destroy
enchantement,enchantment
atteigne,reached
différencier,differentiate
partagée,shared
louez,praise
débarrassée,ridden
obtiendra,will get
lilas,lilac
dirigeable,airship
comblée,filled
vexée,upset
adjugé,awarded
amas,cluster
ridiculisé,ridiculed
égarée,lost
bouchées,bite
informez,inform
sucette,lollipop
exceptions,exceptions
offensés,offended
avançait,advanced
ciair,ciair
cupidon,Cupid
chéries,darling
précipitation,precipitation
rêvée,dreamed
progressé,advanced
civiques,civic
piastres,piastres
iibre,iBer
primitive,primitive
sapristi,sapristi
squelettes,skeleton
frime,show -off
convoque,summons
papas,daddy
biceps,biceps
éternels,eternal
brailler,braille
concepts,concepts
dindon,turkey
lynx,lynx
crypte,crypt
dérivé,derivative
sim,sim
calmera,will calm
aucuns,none
gradins,stands
shampoing,shampoo
passionnément,passionately
repartira,will leave
minet,twink
zachary,Zachary
extincteur,extinguisher
jeremiah,Jeremiah
stimuler,stimulate
contacterai,will contact
yoda,yoda
agaçant,annoying
summers,Summers
photographies,photographs
gotta,botta
flaire,scent
fastoche,fastoche
rivaux,rivals
guinées,Guinea
maçon,mason
qualifiés,qualified
zorro,Zorro
trinque,trinque
yoshida,yoshida
vestes,jackets
callie,Callie
abdomen,abdomen
opposée,opposite
burnett,burnett
arthrite,arthritis
sachet,bag
magnéto,magneto
qué,that
journee,daytime
lézards,lizards
improvise,improvised
voisines,neighboring
romano,novelo
keats,keats
alcoolo,alcohol
primaires,primary
chevy,chevy
repérage,tracking
fourrés,thickets
tomas,tomas
pénicilline,penicillin
complexité,complexity
giulia,giulia
aí,have
lancelot,lancelot
yaourt,yogurt
niki,niki
aman,aman
couchais,bed
pla,plain
patel,patel
mag,Mag
erika,Erika
valentina,Valentina
hardwicke,hardwicke
muscu,muscular
deirdre,deer
yin,yin
heidi,heidi
shel,Shel
meir,meir
virement,payment
spirit,Spirit
pokémons,Pokémons
éditeurs,publishers
raceman,raceman
sg,SG
winchester,Winchester
dégommer,cut
valser,waltz
empêchée,prevented
égarer,mislead
galilée,Galilee
trompettes,trumpets
mortelles,deadly
enveloppes,envelopes
honorables,honorable
patiemment,patiently
vaincue,beaten
ennuyait,bored
prêcheur,preacher
joyaux,jewels
interminable,endless
revus,reviewed
grappin,grapple
suisses,Swiss
roulotte,trailer
nationalité,Nationality
mammy,mammy
implorer,implore
melody,melody
régisseur,manager
invitées,guests
froussard,funky
mouchoirs,handkerchiefs
croisent,come across
corral,corral
entêté,on your mind
tiendrons,Tiend
éloignez,distance
considérant,considering
motus,motus
traîtresse,treacherous
essuyé,wiped
redoublé,redoubled
grillage,wire mesh
terrorisé,terrorized
capt,capture
rira,laugh
logé,housed
fraîchement,freshly
odorat,smell
achete,bought
iraient,will go
indigène,native
hurlent,howl
vendrais,would sell
surplus,surplus
basil,basil
mutilé,mutilated
dormirez,sleep
payerai,will pay
camera,camera
guillotine,guillotine
deuxiême,second
déterminée,determined
navarre,navarre
citoyenne,citizen
freiner,brake
mirage,mirage
enseignante,teacher
repoussant,repulsive
find,find
fiancer,fiance
tarifs,prices
iivre,Ivre
haïssais,Haïssais
gaines,sheaths
fps,fps
lâchera,will let go
embarrassé,embarrassed
babs,babs
mangés,eaten
sombré,dark
partions,parts
flanagan,flanagan
déficit,deficit
rallier,rally
spontané,spontaneous
accéléré,accelerated
accroches,Hang
rentrerez,will come back
chimpanzé,chimpanzee
indiennes,Indian
appâts,bait
radioactif,radioactive
recherchait,was looking for
enorme,enormous
contaminée,contaminated
corrige,corrected
jouit,enjoy
hester,hester
assurent,assure
insuline,insulin
friedrich,Friedrich
becker,Becker
potentiels,potential
propulseurs,propellants
piscines,pool
hernie,hernia
rd,RD
church,church
sarajevo,Sarajevo
intensifs,Intensively intensive
machette,machete
everest,Everest
bragg,braggg
punks,punks
carlin,pug
violeurs,rapists
connectés,connected
friday,friday
sonja,soundja
meryl,meryl
andrei,Andrei
superhéros,Super hero
malkovich,Malkovich
wons,won
kaylee,kaylee
convenait,suited
persiste,persist
montrons,Montrons
baptise,baptized
euphémisme,euphemism
déduire,deduce
espionnes,spy
potage,soup
servais,serais
méfaits,misdeeds
chapitres,chapters
affirment,affirm
sorts,spells
souillé,soiled
conjugal,conjugal
aumône,alms
bride,flange
infidélité,infidelity
adorerait,would love
logements,housing
vogel,vogel
nurse,nursery
marquise,marquise
marthe,Marthe
sudiste,southern
payons,we pay
lmagine,lmagine
concentrés,concentrated
faufiler,sneak out
écriras,CROSS
coéquipiers,teammates
juridiques,legal
intervenu,intervened
hennessy,Hennessy
adéquat,adequate
mauviettes,mauvietes
couchez,lay
gazette,gazette
bricole,tinker
augmentent,increase
tendus,stretch
auguste,august
hérésie,heresy
parenté,kinship
découvrit,discovered
étudiais,studied
sensationnelle,sensational
bowen,bowen
parente,kinship
tantine,tantine
ackerman,ackerman
interner,interne
sanction,sanction
préférerait,would prefer
aiiieurs,aiière
difficiie,difficult
recommencerai,will start again
malpoli,unshaven
soeurette,sister
tut,tut
montrais,showed
iriez,go
serveuses,waitresses
belfast,Belfast
hitchcock,hitchcock
repérée,spotted
lmbécile,lmbécile
yokohama,yokohama
refroidi,cooled
achèterais,would buy
sanitaire,sanitary
lutins,elves
incroyabie,incro -post
bandages,bandages
chevai,horsepower
patriotique,patriotic
métiers,trades
vrille,spin
bong,bong
vieillissant,aging
nationaux,national
mutuel,mutual
courons,runners
jupon,petticoat
towers,towers
peabody,peabody
poignarde,dagger
jumbo,jumbo
sutton,Sutton
shita,shita
agressifs,aggressive
morty,Morty
lillian,lillian
accros,addict
pépère,cushy
discutent,discuss
prévenant,considerate
manuscrits,manuscript
slips,briefs
abc,ABC
lost,lost
flambeau,torch
tutelle,supervision
fascisme,fascism
rationnelle,rational
rayer,scratch
déplacés,moved
clébard,clebard
légales,legal
pupille,pupil
rejouer,replay
aventurer,venture
professionnelles,professional
encyclopédie,encyclopedia
résistent,resist
watch,watch
alligators,alligators
manderley,Manderley
assoiffé,thirsty
loren,loren
donuts,donuts
kip,kip
cobayes,guinea pigs
ultimatum,ultimatum
prématuré,premature
indicatif,indicative
fenetre,window
liaisons,bonds
causant,causing
condor,condor
platon,Plato
nationales,national
fly,fly
berg,berg
león,león
cheerleaders,cheerleaders
turk,Turk
mckay,mckay
trauma,trauma
pïur,pïur
anonymat,anonymity
neurones,neurons
tatouer,tattoo
milk,milk
roquettes,rockets
benoît,Benoît
duran,duran
entrainer,drive
négatives,negative
palestiniens,Palestinian
body,body
leffingwell,leffingwell
désactiver,disable
volvo,Volvo
haru,hardy
mandi,mandi
sparrow,sparrow
nascar,nascar
hétéros,hetero
clones,clones
clash,clash
andie,andie
jos,jos
allegra,allegra
dépositions,depositions
rourke,rourke
prestigieux,prestigious
cartier,cartier
respirait,breathed
turbulences,turbulence
frimer,show off
allumées,on
raton,raccoon
sied,sunset
élargir,to broaden
estimée,estimated
cavalière,rider
conventions,conventions
nazareth,Nazareth
perfide,perfidious
insouciant,carefree
tirées,pulled
éliminés,eliminated
stores,blinds
cheikh,sheikh
aisé,easy
restrictions,restrictions
assembler,to assemble
démarrage,startup
insolente,insolent
ateliers,workshops
gleason,gleason
existais,existed
cruciale,crucial
coopératif,cooperative
répondais,replied
emmanuel,Emmanuel
insultez,insult
rampant,rampant
confirment,confirm
indulgence,indulgence
vapes,vapes
recoucher,overlap
bourrique,brilliant
dévoilé,revealed
minérale,mineral
dévorent,devour
colombes,doves
affront,affront
conducteurs,drivers
gober,swallow
massages,massages
russel,russel
avertie,informed
weaver,weaver
effronté,cheeky
dépassés,outdated
colliers,necklaces
pcv,pcv
transpirer,sweat
iong,Iong
bosco,bosco
amarres,moorings
lâchés,loose
taché,stain
injecter,inject
attrapera,will catch
tournés,tours
stokes,stokes
traitant,dealing
levy,levy
flatter,flatter
grimace,grimace
trempés,soaked
corporelle,bodily
recharge,recharge
éclatent,burst
visée,target
sherwood,sherwood
dérangent,disturbing
fourbe,deceitful
circulent,circulate
bourdon,bourdon
voyagent,travel
kingston,Kingston
prouvera,will prove
arrêta,stopped
germain,Germain
catéchisme,catechism
poursuivie,prosecuted
égarés,lost
pelles,shovel
motiver,motivate
reposé,rests
cultive,cultivated
paraisse,appearance
épilepsie,epilepsy
souviendrais,would remember
éblouissante,dazzling
hoo,hoo
décennie,decade
olympe,Olympus
polices,fonts
demanderait,would ask
macchabée,stiff
amiable,amicable
piquet,stake
conservateurs,conservative
oreillers,pillows
evie,EVIE
amazonie,Amazon
sketch,sketch
violences,violence
angiais,angiian
mcnamara,McNamara
fuyant,fleeing
oral,oral
sauvegarde,backup
rabaisser,give off
tchèque,Czech
alexandra,Alexandra
samurai,Samurai
mesuré,measure
wilshire,wilshire
criaient,shouted
climatisation,air conditioner
demandaient,asked
graver,engrave
angoisses,anxiety
tamara,tamara
motive,motive
den,barter
captain,captain
dinars,dinars
quimby,quimbo
trudy,trudy
diva,diva
martien,Martian
viable,viable
jaime,I like
garland,Garland
avalon,trivial
pip,pip
prostate,prostate
child,child
cong,congestion
mitsva,Mitzva
eagles,eagles
pakistanais,Pakistani
lakers,Lakers
jt,jt
lotte,monkfish
krueger,krueger
gt,GT
morpheus,morpheus
lyra,Lyra
intitule,entitled
surprends,surprise
sarcasme,sarcasm
chics,chic
séparera,will separate
cadette,younger
avare,miser
retourna,returned
déroute,rout
synonyme,synonymous
avidité,greed
traitre,traitor
consacrée,dedicated
décrété,decreed
augure,omen
étonnamment,surprisingly
poursuivait,pursued
agenouiller,kneel
réussisse,success
écoutille,hatch
syrie,Syria
débarrassés,ridden
docile,docile
dues,due
amêne,bring
respectables,respectable
ètaient,were
fend,find
soutenez,support
hoquet,hiccup
rafiot,rafiot
ois,ois
passible,liable
inoffensive,harmless
reptiles,reptiles
apparut,appeared
promenais,walk
Brittany,Brittany
rafle,roundup
renforcé,reinforced
scandales,scandals
mindy,mindy
partenariat,partnership
pétersbourg,Petersburg
dada,dada
criais,shy
débutants,beginners
highway,highway
nietzsche,nietzsche
filiale,subsidiary company
appréciait,appreciated
herald,herald
occupant,occupying
iu,IU
racontera,will tell
friedman,friendman
défais,defeat
déployer,deploy
ferveur,fervor
collent,stick
achetais,bought
bouffent,puff
reverrais,will see again
healy,healy
aviateur,aviator
osera,Osera
china,China
feng,feng
rongé,gnawed
velma,velma
aspirant,aspiring
inconcevable,inconceivable
advienne,come
jugera,will judge
descendrai,will descend
craignant,fearing
adressée,addressed
prient,pray
illumination,illumination
stabiliser,stabilize
poussins,chicks
demandés,requested
matches,matches
feindre,pretend
entendit,heard
illégaux,illegal
vécurent,lived
plaidé,argued
exhiber,exhibit
dunbar,dunbar
bradford,Bradford
press,press
bidule,bidule
péage,TOLL
soulier,shoe
décapiter,behead
retrouva,found
congrégation,congregation
érable,maple
restants,remaining
débloques,unlock
ad,AD
papoter,chat
influent,influential
assoir,sate
inciter,encourage
disparitions,disappearances
lancent,launch
hypothèses,hypotheses
païen,pagan
foulé,crowd
tordant,twisting
couronner,crown
réécrire,rewrite
abstinence,abstinence
gémit,groan
épuiser,exhaust
azote,nitrogen
zig,zig
capricieux,capricious
transporteur,transporter
dojo,dojo
cheri,Dear
mignonnes,cute
luisinha,Luisinha
enclenché,triggered
eliot,Eliot
offrira,will offer
barrow,barrow
showbiz,showbiz
systeme,system
dobbs,dobbs
venice,Venice
dodgers,dodgers
romero,Romero
accélération,acceleration
diabétique,diabetic
ozone,ozone
distributeurs,distributors
ness,ness
presley,presley
discovery,discovery
couchent,lay
lubrifiant,lubricant
télévisé,television
teuf,teuf
leningrad,leningrad
puberté,puberty
tacos,Tacos
fonda,funded
shepard,shepard
hit,hit
yi,yi
shoot,shoot
lemmy,lemmy
sellers,saddlers
doors,doors
bolt,bolt
sofía,Sofia
jang,jang
arjun,Arjun
schlomo,Schlomo
cylons,cylons
rohit,rohit
sosuke,sosuke
mondaine,worldly
opposés,opposite
doublement,doubling
enrôler,enlist
manchette,cuff
toucherez,Touch
gout,taste
prodigue,prodigal
argentin,Argentine
trimer,trime
gagnerais,would win
saxons,Saxons
lnstitut,lunstitut
laissa,left
répandue,widespread
annees,years
persévérance,perseverance
électroniques,electronic
remplacée,replaced
lon,lon
guidée,guided
pécher,to fish
balaie,sweep
tristement,sadly
féminins,female
bookmaker,bookmaker
accrochez,hang
évanouis,passed out
injections,injections
crampes,cramps
soûi,drunk
comédienne,actress
soumets,subsidies
egan,egan
rencontra,met
boulons,bolts
pincé,pinched
dard,dart
pardonnons,Pardon
reveniez,come back
déborder,overflow
vancouver,vancouver
aligner,align
dia,dia
soucoupes,saucer
aigu,acute
corrigé,corrected
tuttle,tuttle
incertitude,uncertainty
relique,relic
consigné,order
promoteur,promoter
accepteront,will accept
dévoile,reveal
remember,remember
visibilité,visibility
simuler,simulate
algèbre,algebra
typhon,typhoon
absorbe,absorbed
jouerait,would play
surpasse,surpasse
clandestine,clandestine
columbus,columbus
vendons,let's sell
osent,dare
dévasté,devastated
glass,glass
couvertes,covered
appeié,appeal
crucifier,crucify
semés,sown
leary,leary
mineures,minor
expiiquer,expire
cric,jack
périple,journey
acides,acids
kérosène,kerosene
dane,dune
cafetière,coffee maker
défendant,defendant
démasquer,unmask
prédictions,predictions
ramenés,brought back
again,again
mercer,meter
mythes,myths
rattrapera,will catch up
pauses,pauses
mammifères,mammals
markham,Markham
vieiiie,older
inférieurs,inferior
apprenons,let's learn
débloque,unblocked
aquatique,aquatic
pelham,pelham
westerns,westerns
partages,sharing
préposé,attendant
lyman,Lyman
paradoxe,paradox
vigile,vigil
bette,beet
antérieure,anterior
ireland,reland
rorschach,Rorschach
fissure,crack
nazie,Nazi
fraction,fraction
dunham,dunham
senior,senior
armêe,army
fauteuils,armchairs
hermès,Hermes
allumes,ignition
rigolais,lashing
hérétique,heretic
stein,Stein
taro,Taro
infirmiers,nurses
évacués,evacuated
médiatique,media
dirty,dirty
troll,troll
corvette,corvette
chin,chin
bouffes,puff
lasagnes,lasagna
andréi,Andréi
lula,lula
matias,Matias
brunch,brunch
mahler,mahler
beuh,beuh
mcdo,Mcdonalds
élise,Élise
investis,invested
raquette,racket
débarquez,disembark
border,border
reçoive,receive
conquérant,conqueror
sceptre,scepter
réunissent,bring together
délicates,delicate
résonne,resonant
rengaine,catch -up
passèrent,passed
invoque,invoke
plumer,plume
bristol,bristol
fougueux,fiery
cotes,ratings
episode,episode
casseroles,pans
lux,lux
contactera,will contact
éjecter,eject
décomposition,decomposition
confidence,confidence
tunique,tunic
mente,liar
tardive,late
futés,smaller
joignez,Join
porridge,Porridge
indiscrète,indiscreet
tricot,knitting
bricoles,odds and ends
catégories,categories
brasserie,brewery
expéditeur,sender
authenticité,authenticity
délivré,delivered
goldberg,Goldberg
cyclone,cyclone
prédécesseur,predecessor
émoi,stir
cambriolages,burglaries
petey,petey
désintoxication,detoxification
grillés,grilled
commodore,commodore
accélérez,accelerate
décidés,decided
dérailler,derail
incarnation,incarnation
refile,downside
index,index
blesses,wounded
enlèvera,will take off
capitaux,capital
adverse,opposing
empoisonne,poisoned
gobé,swallowed
sahara,Sahara
poussant,pushing
perçoit,perceive
kidnappeur,kidnapper
occupations,occupations
lucie,Lucy
bagarrer,fight
récompenses,awards
intrigué,plot
allumés,on
macintosh,macintosh
genèse,Genesis
rattraperai,will catch up
turque,Turkish
nébuleuse,nebula
juanita,juanita
poussera,push to
trenton,Trenton
coupait,cut
goldie,Goldie
ombrelle,umbrella
volaille,poultry
courbes,curves
entamé,began
déshabillé,undressed
pénibles,painful
joss,joss
versement,payment
confins,borders
givré,frosted
horoscope,horoscope
organisateur,organizer
milieux,environments
aboutir,lead
souviennes,Souviennes
lingots,ingots
retrouvées,found
dépassée,outdated
astronomie,astronomy
emery,Emery
adopte,adopted
caldwell,caldwell
autodestruction,self -destruction
citations,quotes
idéaliste,idealistic
autodéfense,self -defense
superflu,superfluous
remplaces,replacement
aboiements,barking
appliqué,applied
tonalité,tone
colere,anger
brevets,patents
taiwan,taiwan
gunnar,gunnar
déchet,waste
scolarité,schooling
sadako,Sadako
donnelly,duck
donahue,donahue
pm,PM
water,water
éé,eé
intérimaire,temp worker
taffe,taffe
téléviseur,TV
perrin,Perrin
audimat,Audimate
dim,sun
fellation,blowjob
ally,ally
scudder,scudder
joon,Joon
huo,huo
donkey,donkey
denfer,derfer
bozz,bozz
rishi,rising
salander,swing
propreté,cleanliness
fight,fight
brises,breezes
interception,interception
autocar,coach
poignardée,stabbed
perdit,lost
imaginent,imagine
provoquée,provoked
fragment,fragment
agissons,let's act
interrogation,questioning
symptôme,symptom
réfléchirai,will think
nudité,nudity
expulsés,expelled
maté,mate
buveur,drinker
terreux,terrly
bohème,Bohemia
primordial,primordial
détestable,detestable
regrettez,regret
harnais,harness
manifesté,manifest
tardera,will be long
ajamais,for ever
sanatorium,sanatorium
ballot,stammer
latitude,latitude
empiré,empire
livrés,books
péquenaud,pequenaud
war,war
séduite,seduced
fatigues,fatigue
interrompons,Let's interrupt
carrée,square
brisera,will break
fatiguez,fatigue
raids,raids
pesait,weighed
accomplis,accomplished
intéressera,interested in
contribuables,taxpayer
prémédité,premeditated
jouerez,will play
snack,snack
préfecture,prefecture
écouteurs,listeners
réparateur,repairer
consommé,consumes
standing,standing
connaîtras,will know
mitaine,mitt
patinage,skating
piétiner,trample
mangeras,eaten
désorienté,disoriented
truffes,truffles
regarda,looked at
tons,tones
cygnes,swans
purple,purple
escudos,escudos
artagnan,Artagnan
chauffard,driver
borné,thick headed
glaçon,ice Cube
traversons,cross
mohamed,mohamed
meade,meade
écriteau,sign
carnegie,carnegie
cor,horn
brownie,brownie
repères,landmarks
bianc,bianc
tei,tei
synthétique,synthetic
impliquant,implying
pressons,prepare
avancés,advances
délices,delight
magouilles,shenanigans
penseras,will think
intersection,intersection
agile,agile
harcelé,hacked
fallon,Fallon
cantor,cantor
reposes,rest
inconfortable,uncomfortable
sodas,sodas
left,left
another,Another
pretty,Pretty
dévié,of life
shop,shop
amnistie,amnesty
padre,paddy
fourche,fork
familiaux,family
tchin,tchin
acharné,hardy
jaillit,gushes
commandeur,commander
fours,ovens
pseudonyme,pseudonym
germaine,Germaine
divisée,divided
format,format
monologue,monologue
orson,orson
tartare,tartar
sanderson,Sanderson
sécuriser,to secure
scellés,seal
partaient,left
sin,sine
mustangs,Mustangs
nada,nada
souvenait,remembered
grouiller,swarm
anomalies,anomalies
has,haste
secrétariat,secretariat
sauvons,save
rodrigo,rodrigo
adriana,Adriana
intégration,integration
baisais,fucked
ciro,ciro
luciano,Luciano
colon,colon
thèmes,themes
lésion,lesion
ées,ees
ger,ger
rémy,Rémy
juarez,Juarez
english,English
occase,occasional
kappa,kappa
diamètre,diameter
blackwood,blackwood
faye,faye
israélien,Israeli
lucian,Lucian
lennon,lennon
manif,manifier
jfk,jfk
exam,exam
vador,vador
randal,randal
wraith,wraith
umrao,umrao
récepteur,receiver
still,still
walk,walk
partisan,supporter
éteintes,extinguished
cosmétiques,cosmetics
ga,GA
recrute,recruit
immigrants,immigrants
caissière,cashier
recommandée,recommended
infamie,infamy
butterfly,Butterfly
prêtresse,priestess
messagers,messengers
tournons,Let's turn off
fondateurs,founders
procés,trial
élèvent,raise
chere,dear
ensorcelé,bewitched
artistiques,artistic
calomnie,calumny
attarder,dwell
brisées,broken
endure,endure
socialistes,socialist
reculons,Let's decline
conspirateurs,conspirators
apparaîtra,will appear
chagrins,sorrows
portefeuilles,wallets
individuelle,individual
firmament,firmament
délicieuses,delicious
mol,mol
potager,vegetable garden
possèdes,possees
coney,coney
remarquera,will notice
malfaisant,evil
souviendrez,will remember
winthrop,Winthrop
regrettera,will regret
alto,alto
pointent,point
sweeney,sweeney
contrées,regions
talentueuse,talented
inventes,invent
rachète,redeem
matilda,Matilda
sergei,sergei
drugstore,drugstore
attendrez,wait
confortables,comfortable
entra,entrepreneur
injonction,injunction
fido,fido
sérénade,serenade
mayflower,Mayflower
incarné,embodied
lrlande,lrland
candidate,candidate
survis,survivor
pèsent,weigh
agresseurs,attackers
mathématique,mathematical
préventive,preventive
aiié,aiié
typiquement,typically
dépressif,depressive
musiques,music
bela,bela
déchu,fallen
entrerai,will enter
calais,Calais
dérouler,unroll
soignée,neat
fleuves,rivers
cadets,cadets
détachée,detached
écorce,bark
poires,pears
hublot,porthole
cachant,hiding
déterré,earthen
énervant,annoying
much,much
mansfield,mansfield
springfield,Springfield
spray,spray
droites,straight
seabiscuit,Seaiscur
satanés,loud
hernandez,Hernandez
moose,moose
bloquées,blocked
théoriquement,theoretically
radioactivité,radioactivity
planques,hideout
zip,zip
miraculeux,miraculous
graphique,chart
déclic,click
jaillir,spurt
gianni,gianni
pilgrim,pilgrim
ryu,Ryu
verde,verde
sissy,sissy
fats,fat
gregg,gregg
hubbard,hubbard
lilith,lilith
kowalski,kowalski
marisa,husband
suspendus,suspended
développée,developed
flower,flower
végétarienne,vegetarian
paniquez,pan
nbc,nbc
telly,teelly
romarin,rosemary
rae,rae
leucémie,leukemia
cullen,cullen
herpès,herpes
tessa,tessa
dyle,dyle
yumiko,yumiko
TRUE,TRUE
cun,cun
panthers,panthers
moses,moses
survenant,occurrence
checkers,checkers
garber,garber
cmdt,cmdt
plissken,pleasken
çça,çça
tori,tori
junuh,junuh
nenê,none
waldorf,waldorf
rdv,appointment
google,Google
statique,static
appréciera,will appreciate
mirent,put on
tentera,will attempt
planqués,hidden
berceuse,lullaby
insinuer,impart
cinématographique,cinematographic
gîte,gîte
courroux,wrath
explosive,explosive
fauve,Wildcat
formules,formulas
attirait,attracted
parée,adorned
lgor,lgor
braun,braun
mages,mages
extérieures,exterior
tonneaux,barrels
propage,spread
sudistes,southern
marées,tides
refroidissement,cooling
authentiques,authentic
cannibale,cannibal
publicités,advertising
arms,arms
chopin,chopin
coopérez,cooperate
tourte,pie
solennel,solemn
accompagnait,accompanied
harker,harker
transylvanie,transylvania
croiriez,would believe
changea,changed
délicatement,delicately
amandes,almonds
chômeurs,unemployed
mentirai,will lie
souffrira,will suffer
olympia,Olympia
ote,takes away
affaiblit,weakened
volumes,volumes
muraille,wall
trust,trust
hattie,Hattie
chaleureusement,warmly
mites,mites
brésilienne,Brazilian
beef,beef
kidnappeurs,kidnappers
ponte,laying
bronzé,bronze
élevées,high
retardée,delayed
glacés,frozen
walters,Walters
considérablement,considerably
disposez,arrange
supercherie,deception
combattez,Fight
lmaginez,lmagine
lace,lace
affichage,display
décrochez,Take off
flottent,float
françoise,Françoise
rut,rut
entraîneurs,coaches
périlleux,perilous
suivaient,followed
chanel,Chanel
esquimaux,esquimals
torturés,tortured
rajouté,added
virtuel,virtual
dérivés,derivatives
tombale,tombstone
bienveillant,caring
anchois,anchovy
baffe,slap
libellule,dragonfly
nullement,in any way
misères,misery
piliers,pillars
découvres,discourse
inconsciemment,unconsciously
portées,worn
épileptique,epileptic
duval,Duval
haï,hating
sentaient,felt
béret,beret
pures,pure
dégénérés,degenerate
ourse,bear
interférence,interference
something,something
sound,sound
coche,coachman
glaciale,icy
décrivez,Describe
mangeaient,ate
occupants,occupants
days,days
maxim,maxim
exilé,exile
pries,prayed
stoppez,stop
defense,defense
gradé,grade
remercieras,will thank
parleurs,speakers
affrontement,confrontation
tresses,braids
déploiement,deployment
garrot,tournier
remplissent,fill up
pao,dash
yuans,yuan
bobbie,bobbie
croissants,growing
fondamental,fundamental
emmet,Emmet
pénétration,penetration
manfred,manfred
knight,knight
hacker,hack
eben,eben
piranhas,piranhas
ramsès,ramsès
aut,aut
striker,striker
lung,lung
rizzo,rizzo
communautés,communities
dü,of
climatique,climate
poussières,dust
lucía,Lucía
elijah,Elijah
réanimation,intensive care
vietnamien,Vietnamese
petrelli,petrelli
sulu,sulu
dani,dani
astheure,asture
yeon,Yeon
poudlard,Hogwart
néviplanchisme,neviplanchism
compromise,compromise
doctrine,doctrine
fixation,fixation
popeye,popeye
yamamoto,yamamoto
raciale,racial
paisibles,peaceful
garderas,guard
surnomme,nickname
fassions,posts
violettes,purple
effroi,dread
jeta,jeta
comprit,understood
semblera,will seem
arreté,stopped
supportable,bearable
dompter,to tame
colêre,anger
mangerait,would eat
vaincrons,let's defeat
ut,ut
décampe,decampe
prédicateur,preacher
casserai,will break
fermerai,will close
égare,lost
epatant,thick
indécent,indecent
poneys,ponies
enverrais,sewn
guêpe,wasp
autoritaire,authoritarian
défoncés,smashed
sels,salts
bouleverse,upset
directs,direct
gingembre,ginger
chirurgiens,surgeons
froisser,crush
hisser,hoist
maçons,masons
devenons,let's become
connaîtrez,will know
actuelles,current
doutait,doubted
ouvrit,opened
sardines,sardines
plate,flat
gardée,guarded
accélérer,accelerate
fourchette,fork
sadie,Sadie
soûle,drunk
boxer,boxer
garé,station
talbot,Talbot
bicyclette,bicycle
gagnants,winners
citation,quote
banks,banks
ralenti,slow motion
carnage,carnage
sautes,swings
quelquechose,something
ss,ss
lynch,lynch
brancher,connect
bâtards,bastards
rap,rap
tuées,killed
dom,dom
statistiques,statistics
énervée,angry
navigation,navigation
effondre,collapse
aveu,admission
publics,public
interpréter,interpret
correcte,correct
jument,Mare
cathédrale,cathedral
famine,famine
soufflé,breath
tend,tend
souri,smile
dé,of
insistez,Insist
restais,rest
accueille,welcomes
impuissant,powerless
braqué,sparkled
camille,Camille
poppy,poppy
richards,richards
