,French,English
5313,fasciste,fascist
5314,joshua,joshua
5315,rupert,rupert
5316,dominique,Dominique
5317,fbl,FBL
5318,module,module
5319,hee,hee
5320,infidèle,unfaithful
5321,allusion,allusion
5322,sorcellerie,witchcraft
5323,ému,moved
5324,divertir,to entertain
5325,battant,swinging
5326,plâtre,plaster
5327,pneumonie,pneumonia
5328,cordon,cord
5329,arrêterai,will stop
5330,permanente,permed
5331,autorisée,authorized
5332,bravoure,bravery
5333,soupire,sigh
5334,ioin,iloin
5335,recettes,receipts
5336,naviguer,navigate
5337,posent,pose
5338,évier,sink
5339,déprimant,depressing
5340,bourrée,drunk
5341,issues,outstands
5342,cruz,cruz
5343,ados,teens
5344,avortement,abortion
5345,sirènes,sirens
5346,classiques,classic
5347,trouva,found
5348,favorite,favorite
5349,derriére,behind
5350,fléau,scourge
5351,expulser,expel
5352,coudre,sew
5353,protégez,protect
5354,reproduction,reproduction
5355,gonzesses,gonzesses
5356,volcan,volcano
5357,stupéfiant,amazing
5358,souffrant,suffering
5359,privées,private
5360,randolph,randolph
5361,toiles,canvas
5362,égout,sewer
5363,rechange,spare
5364,uni,United
5365,costard,suit
5366,sites,Site (s
5367,rodney,Rodney
5368,calorifix,calorifix
5369,yuan,yuan
5370,affiches,posters
5371,reviendrons,will come back
5372,poursuis,pursuing
5373,effondrer,collapse
5374,arrêtais,arrested
5375,exigences,requirements
5376,sultan,sultan
5377,attendue,expected
5378,implore,implore
5379,passions,passions
5380,comprenons,Let us understand
5381,aimés,loved
5382,annulez,cancel
5383,autriche,Austria
5384,mina,mina
5385,réchauffe,reheat
5386,county,County
5387,cary,kary
5388,flacon,bottle
5389,ada,ADA
5390,crédible,credible
5391,ethel,Ethel
5392,lumineux,luminous
5393,retrouves,found
5394,lnde,round
5395,interdits,prohibited
5396,shake,shake
5397,daddy,daddy
5398,déconné,disadvantage
5399,lorenzo,lorenzo
5400,mei,mei
5401,meredith,meredith
5402,beatles,beatles
5403,april,April
5404,there,thereby
5405,bombardement,bombing raid
5406,rébellion,rebellion
5407,réuni,gathered
5408,remerciez,thank
5409,utilises,used
5410,envolé,soaked
5411,amitiés,friendships
5412,agite,agite
5413,permettent,allow
5414,comptabilité,accounting
5415,catch,wrestling
5416,bave,drool
5417,allié,ally
5418,holt,holt
5419,rassemblez,Gather
5420,provenant,from
5421,agonie,agony
5422,caïd,caid
5423,espéré,hoped
5424,nounours,teddy bear
5425,emballer,wrap
5426,newman,Newman
5427,sentirais,would feel
5428,débordé,overwhelmed
5429,classée,listed
5430,saignes,bleeding
5431,speed,speed
5432,constante,constant
5433,abris,shelter
5434,people,people
5435,gps,GPS
5436,sainteté,holiness
5437,mineure,minor
5438,peg,peg
5439,flots,waves
5440,abandon,abandonment
5441,juridiction,jurisdiction
5442,finn,finn
5443,gibier,game
5444,abîmer,damage
5445,bêta,beta
5446,cobb,cobb
5447,sherlock,sherlock
5448,déserte,deserted
5449,rappellera,will recall
5450,bouquins,books
5451,opéré,operated
5452,épées,swords
5453,symboles,symbols
5454,plages,beaches
5455,cobra,cobra
5456,couvrez,cover
5457,centres,centers
5458,hanson,hanson
5459,catalogue,catalog
5460,anéanti,annihilate
5461,larme,tear
5462,refusait,refused
5463,paraissait,appeared
5464,suspecte,suspicious
5465,lisait,read
5466,avancent,advance
5467,pente,slope
5468,pike,pike
5469,détruis,destroyed
5470,golden,Golden
5471,ridicules,ridiculous
5472,proteste,protest
5473,fournit,provides
5474,comprennes,understanding
5475,rogne,rod
5476,yards,yards
5477,surveillent,monitor
5478,reviennes,come back
5479,mourez,die
5480,harceler,harass
5481,lèche,lick
5482,amusent,amuse
5483,ricardo,ricardo
5484,industries,industries
5485,eagle,eagle
5486,cafétéria,cafeteria
5487,chang,jerk
5488,rame,row
5489,poursuites,prosecution
5490,skeffington,skeffington
5491,sibérie,Siberia
5492,reese,reese
5493,explosif,explosive
5494,trouvaient,found
5495,emménagé,moved
5496,infâme,infamous
5497,acceptée,accepted
5498,accouche,give birth
5499,perroquet,parrot
5500,humilié,humiliated
5501,embaucher,to hire
5502,marchés,markets
5503,magnétique,magnetic
5504,natale,native
5505,carnaval,carnival
5506,terrifié,terrified
5507,transaction,transaction
5508,adorables,adorable
5509,spécimen,specimen
5510,eddy,Eddy
5511,molle,soft
5512,obsèques,funeral
5513,marx,Marx
5514,portugais,Portuguese
5515,esthétique,aesthetic
5516,consommation,consumption
5517,horace,horace
5518,dirigeait,led
5519,judith,Judith
5520,phyllis,phyllis
5521,employer,to employ
5522,désigné,designated
5523,déclenche,sets off
5524,profondes,deep
5525,cantine,canteen
5526,price,price
5527,irving,Irving
5528,infarctus,infarction
5529,po,po
5530,pakistan,Pakistan
5531,zoe,Zoe
5532,écoutera,will listen to
5533,particules,particles
5534,won,won
5535,impériale,imperial
5536,fichons,files
5537,remplissez,fill out
5538,indépendante,independent
5539,salive,saliva
5540,susceptible,susceptible
5541,media,media
5542,amusez,have fun
5543,resteront,will remain
5544,clientèle,customer base
5545,installée,installed
5546,antique,antique
5547,gregory,Gregory
5548,ezra,ezra
5549,motivation,motivation
5550,trancher,to slice
5551,queen,queen
5552,reuben,reuben
5553,gore,gore
5554,transformation,transformation
5555,escalade,escalation
5556,hormones,hormones
5557,écrivais,wrote
5558,lulu,lulu
5559,affirmer,to assert
5560,emmenait,led
5561,émissaire,emissary
5562,intéresses,interested
5563,croyances,beliefs
5564,cherchiez,look for
5565,tracteur,tractor
5566,doré,Golden
5567,façade,facade
5568,insolent,sassy
5569,pion,pawn
5570,oubliés,forgotten
5571,mentionner,mention
5572,coquille,shell
5573,souhaitons,Let us wish
5574,allonge,elongate
5575,nausée,nausea
5576,zombies,zombies
5577,nombres,numbers
5578,boulettes,dumplings
5579,défonce,smash
5580,scorpion,Scorpio
5581,gouvernements,governments
5582,républicain,republican
5583,nell,Nell
5584,call,call
5585,yuri,yuri
5586,hélicoptères,helicopter
5587,aziz,aziz
5588,choi,choi
5589,connecticut,Connecticut
5590,brûlés,burnt
5591,homos,gay
5592,arroser,water
5593,couronnes,wreaths
5594,épouserai,marry
5595,sicile,Sicily
5596,resterait,would remain
5597,pourriture,rot
5598,contrôles,checks
5599,brillent,shine
5600,méme,even
5601,jetés,thrown
5602,manège,merry -go -round
5603,convictions,convictions
5604,ave,ave
5605,évitez,avoid
5606,aimeras,will love
5607,ketchup,ketchup
5608,burger,burger
5609,bryan,Bryan
5610,assois,sit
5611,alabama,Alabama
5612,broche,pin
5613,réparation,repair
5614,dixie,dixie
5615,impliquée,implied
5616,ée,ee
5617,margot,Margot
5618,whoo,Whoo
5619,fay,fay
5620,pékin,Beijing
5621,vivian,Vivian
5622,worf,world
5623,séparent,separate
5624,enthousiaste,enthusiastic
5625,parcourir,Browse
5626,baskets,sneakers
5627,identique,identical
5628,installation,facility
5629,querelle,quarrel
5630,brèche,breach
5631,mister,mister
5632,vieilli,aged
5633,cocher,tick
5634,accessoires,accessories
5635,locataire,tenant
5636,regrettable,regrettable
5637,blonds,blonde
5638,écossais,Scottish
5639,déclarations,statements
5640,opère,operates
5641,naturelles,natural
5642,morse,walrus
5643,isoler,isolate
5644,rient,laughing
5645,arène,arena
5646,pet,fart
5647,acceptable,acceptable
5648,immortalité,immortality
5649,journalisme,journalism
5650,communisme,Communism
5651,universal,universal
5652,enferme,shut in
5653,résolution,resolution
5654,courtes,short
5655,prenaient,were taking
5656,payait,paid
5657,obtenez,get
5658,comparaison,comparison
5659,yen,yen
5660,America,America
5661,reproduira,will reproduce
5662,adrénaline,adrenaline
5663,paperasse,paperwork
5664,neufs,new
5665,vagabond,vagabond
5666,valu,valu
5667,iii,III
5668,pécheur,fisherman
5669,nat,nat
5670,compatriotes,compatriots
5671,survivra,will survive
5672,crucial,crucial
5673,appuyé,supported
5674,larges,large
5675,tarde,tarden
5676,arguments,arguments
5677,racontent,tell
5678,faciliter,facilitate
5679,tapez,tap
5680,impulsion,impulse
5681,pierce,pierce
5682,gotham,Gotham
5683,savants,scientists
5684,remporté,win
5685,foncez,go for it
5686,microbes,microbes
5687,Edwards,Edwards
5688,Duane,Duane
5689,hydrogène,hydrogen
5690,ratée,failed
5691,golfe,gulf
5692,cha,cha
5693,battra,will be beaten
5694,macho,macho
5695,composition,composition
5696,voyageurs,travelers
5697,hypnose,hypnosis
5698,écoulé,elapsed
5699,débrouilles,resourceful
5700,scandaleux,scandalous
5701,Scotland,Scotland
5702,chorale,choral
5703,prospérité,prosperity
5704,millier,thousand
5705,terminale,terminal
5706,Stanton,Stanton
5707,Lindsay,Lindsay
5708,ronge,rodent
5709,coffrer,trigger
5710,témoignages,testimonials
5711,découvertes,discovery
5712,ouvrage,work
5713,tirait,was shooting
5714,Prague,Prague
5715,garnison,garrison
5716,bank,bank
5717,civilisé,civilized
5718,volait,stolen
5719,flinguer,flinch
5720,Henderson,Henderson
5721,étapes,steps
5722,soupçon,suspicion
5723,over,over
5724,infecté,infected
5725,Darren,Darren
5726,employée,employee
5727,radin,stingy
5728,suicidaire,suicidal
5729,bourgeois,bourgeois
5730,provient,comes from
5731,hausse,rise
5732,reconstruire,rebuild
5733,répondent,answer
5734,pains,bread
5735,peaux,skins
5736,propriétés,properties
5737,habité,reside
5738,Gomez,Gomez
5739,repousse,repeller
5740,prometteur,promising
5741,gorilles,gorillas
5742,sceau,seal
5743,locales,local
5744,détourné,hijacked
5745,sully,sully
5746,socialiste,socialist
5747,éclaire,enlightened
5748,rein,kidney
5749,Honolulu,Honolulu
5750,aspire,aspire
5751,jettes,throws
5752,bavard,gossipy
5753,accordée,granted
5754,Wichita,Wichita
5755,humidité,humidity
5756,déprime,depressed
5757,programmé,program
5758,viiie,viiie
5759,talentueux,talented
5760,micros,microphone
5761,christy,Christy
5762,trish,trish
5763,bisous,Kisses
5764,maintient,keeping
5765,wild,Wild
5766,textes,texts
5767,anarchie,anarchy
5768,saurons,will know
5769,pénétré,penetrated
5770,sensibilité,sensitivity
5771,meurtrière,murderer
5772,abîmé,abyss
5773,spot,spot
5774,enfile,thread
5775,escrocs,crook
5776,réalisez,realize
5777,cheveu,hair
5778,portier,porter
5779,nécessairement,necessarily
5780,powers,powers
5781,kilomètre,kilometer
5782,vivras,vivras
5783,électeurs,voters
5784,portland,portland
5785,frissons,chills
5786,folies,folies
5787,courants,currents
5788,sérum,serum
5789,pitt,pitt
5790,attardé,retarded
5791,console,console
5792,canadiens,Canadian
5793,whitney,whitney
5794,candy,candy
5795,tétons,nipples
5796,victoires,victories
5797,wood,Wood
5798,brûlent,burn
5799,divertissement,entertainment
5800,subtil,subtle
5801,gentlemen,gentlemen
5802,résume,summary
5803,recevra,will receive
5804,pleurent,cry
5805,conflits,Conflicts
5806,passaient,were passing
5807,concevoir,design
5808,échappent,escape
5809,intéressés,interested
5810,moquent,mock
5811,éclaircir,lighten
5812,anesthésie,anesthesia
5813,sains,healthy
5814,réserver,to book
5815,piaule,piaule
5816,crocodile,crocodile
5817,cora,cora
5818,mitrailleuse,machine gun
5819,charrette,cart
5820,informateur,informant
5821,écoutait,was listening
5822,baptiste,Baptist
5823,booth,boot
5824,tentes,tents
5825,they,they
5826,immonde,filthy
5827,intellectuel,intellectual
5828,amelia,Amelia
5829,cyrus,cyrus
5830,desmond,desmond
5831,ari,ari
5832,métaphore,metaphor
5833,séminaire,seminar
5834,pdg,CEO
5835,bagage,luggage
5836,tyran,tyrant
5837,formidables,great
5838,put,put
5839,souffres,sulfur
5840,souffrait,suffered
5841,consigne,order
5842,exquis,delicious
5843,silhouette,silhouette
5844,ivresse,drunkenness
5845,chères,dear
5846,silencieuse,silent
5847,écarte,dismissal
5848,cultures,crops
5849,coince,stuck
5850,voyaient,saw
5851,inférieur,lower
5852,chantais,sang
5853,payent,pay
5854,dormirai,will sleep
5855,coffres,coffers
5856,volées,stolen
5857,aspects,aspects
5858,quarts,quarter
5859,grenouilles,frogs
5860,grandis,grow up
5861,lowell,Lowell
5862,pi,pi
5863,lew,Lew
5864,porche,porch
5865,bianca,bianca
5866,joints,joints
5867,francesca,Francesca
5868,marcos,marcos
5869,skate,skateboarding
5870,idéaux,ideal
5871,géorgie,Georgia
5872,lars,lars
5873,puant,stinking
5874,tentent,try
5875,touchera,touch
5876,réussie,successful
5877,crient,shout
5878,tata,tata
5879,satané,loud
5880,ressemblance,resemblance
5881,voudrai,would
5882,enlèves,heads
5883,bloquez,block
5884,présentez,present
5885,paierez,pay
5886,cambridge,Cambridge
5887,jouaient,were playing
5888,brent,Brent
5889,hameçon,fish hook
5890,damon,damon
5891,créatif,creative
5892,chéris,darling
5893,complexes,complex
5894,votez,vote
5895,mutation,mutation
5896,endommagé,damaged
5897,jonesy,jonesy
5898,écoutant,listening
5899,ends,ends
5900,trimestre,quarter
5901,live,lively
5902,dimitri,Dimitri
5903,dinosaure,dinosaur
5904,saisons,seasons
5905,rase,shackle
5906,contrebande,smuggling
5907,assiste,assistant
5908,indigènes,native
5909,siffle,whistle
5910,pousses,shoots
5911,enragé,enraged
5912,actionnaires,shareholders
5913,plouc,plouc
5914,refrain,chorus
5915,vautours,vulture
5916,maries,marials
5917,gates,gates
5918,sincérité,sincerity
5919,refroidir,chill
5920,martyr,martyr
5921,ace,ace
5922,roulettes,casters
5923,débute,starts
5924,épingle,pin
5925,tarzan,Tarzan
5926,suivront,will follow
5927,choux,cabbage
5928,délivrer,issue
5929,océans,oceans
5930,dictionnaire,dictionary
5931,everett,Everett
5932,alec,alec
5933,classé,class
5934,staline,stalin
5935,participation,participation
5936,karaté,karate
5937,serena,serena
5938,reprise,reprise
5939,edna,Edna
5940,hygiène,hygiene
5941,javier,javier
5942,étendu,extended
5943,répit,respite
5944,tite,tite
5945,canaille,scoundrel
5946,trouillard,troop
5947,varsovie,Warsaw
5948,paroisse,parish
5949,débrouillerai,will manage
5950,officiels,officials
5951,supposer,assume
5952,strike,strike
5953,consciente,conscious
5954,cambrioleur,burglar
5955,pluies,rains
5956,indiana,Indiana
5957,woods,Woods
5958,fichent,file
5959,mannequins,mannequins
5960,immatriculation,registration
5961,testé,tested
5962,dérangement,disturbance
5963,emploie,job
5964,suspension,suspension
5965,confondre,to confuse
5966,gandhi,gandhi
5967,diplômes,degrees
5968,croiras,will grow
5969,edie,edie
5970,couille,ball
5971,garcia,Garcia
5972,partirez,will leave
5973,gifle,slap
5974,semé,sown
5975,évolué,evolved
5976,souvenu,remembered
5977,maintes,many
5978,aurore,dawn
5979,installés,installed
5980,examine,examined
5981,barbier,barber
5982,baptême,baptism
5983,flou,vague
5984,rembourserai,will reimburse
5985,oxford,oxford
5986,sup,sup
5987,cuits,cooked
5988,élégante,elegant
5989,frances,Frances
5990,virés,wandering
5991,arabie,Arabia
5992,égaré,lost
5993,tronc,trunk
5994,boucherie,butcher's shop
5995,tueras,will kill
5996,janice,janice
5997,alma,Alma
5998,nourrice,nurse
5999,firme,firm
6000,détermination,determination
6001,investisseurs,investors
6002,chet,chet
6003,jung,jung
6004,engueuler,shout
6005,vaccin,vaccine
6006,combustible,combustible
6007,dinosaures,dinosaurs
6008,flippant,scary
6009,lauren,Lauren
6010,volez,steal
6011,préjugés,prejudice
6012,espérait,hoped
6013,effectuer,perform
6014,serrez,tighten
6015,dérangerait,would bother
6016,asiatique,Asian
6017,démarrez,start
6018,hip,hip
6019,bougre,gauge
6020,ernesto,Ernesto
6021,suivons,follow
6022,adultère,adultery
6023,renaissance,Renaissance
6024,plaisant,pleasant
6025,lie,related
6026,echo,echo
6027,resterais,would remain
6028,démarré,started
6029,donneras,will give
6030,entendrez,hear
6031,endort,sleeping
6032,remarquez,notice
6033,demoiselles,ladies
6034,ironique,ironic
6035,marchands,merchants
6036,pinky,Pinky
6037,fermement,firmly
6038,futurs,future
6039,cascade,cascade
6040,succession,succession
6041,sofa,sofa
6042,enregistrements,recordings
6043,avalanche,avalanche
6044,préférées,favorite
6045,cola,cola
6046,eden,Eden
6047,caleb,calear
6048,repérés,landmarks
6049,aînée,Elder
6050,coutumes,customs
6051,genève,Geneva
6052,clément,clement
6053,contenant,container
6054,session,session
6055,déjâ,Already
6056,oignon,onion
6057,pansement,bandage
6058,connaissant,knowing
6059,effondré,collapsed
6060,andrews,Andrews
6061,applaudit,applaud
6062,renforcer,to strenghten
6063,set,set
6064,bug,bug
6065,normales,normal
6066,patriote,patriot
6067,virez,spin
6068,escadrille,squadron
6069,bombay,bombay
6070,hambourg,Hamburg
6071,femelles,females
6072,balise,tag
6073,reagan,reagan
6074,malik,Malik
6075,soigneusement,thoroughly
6076,animé,lively
6077,composer,compose
6078,repoussé,rejected
6079,complétement,completely
6080,chaleureux,warm
6081,saisie,seizure
6082,priver,deprive
6083,salaires,wages
6084,inquiétait,worried
6085,naples,Naples
6086,sauriez,would know
6087,enfiler,put on
6088,attachez,tie up
6089,motifs,patterns
6090,perdrai,will lose
6091,refusée,Refused
6092,infinie,infinite
6093,joséphine,joséphine
6094,réconforter,comfort
6095,statues,statues
6096,théo,Theo
6097,finies,finite
6098,pensera,think about
6099,reparle,sparkle
6100,escroquerie,scam
6101,inoubliable,unforgettable
6102,pinces,tongs
6103,lisant,reading
6104,résumé,summary
6105,hopkins,hopkins
6106,chalet,cottage
6107,yorkais,Yorker
6108,haines,hatred
6109,cohen,Cohen
6110,drogués,drugs
6111,stevenson,Stevenson
6112,hussein,Hussein
6113,liu,liu
6114,yoga,yoga
6115,tanya,Tanya
6116,byron,Byron
6117,cuisines,kitchens
6118,équitable,fair
6119,annulée,canceled
6120,eteignez,turn off
6121,remontant,dating back
6122,por,por
6123,introuvable,not found
6124,aidait,helped
6125,scénariste,scriptwriter
6126,distingué,distinct
6127,oregon,Oregon
6128,sloan,sloan
6129,cable,cable
6130,mohammed,Mohammed
6131,volets,shutters
6132,garden,Garden
6133,excellentes,excellent
6134,applaudissez,applaud
6135,ficelles,strings
6136,mourrons,die
6137,durement,harshly
6138,lilly,Lilly
6139,financer,finance
6140,utilisés,used
6141,wanda,wanda
6142,chip,chip
6143,hawaï,Hawaii
6144,brandt,Brandt
6145,jj,not a word
6146,asthme,asthma
6147,dirigeant,leader
6148,étui,case
6149,gaie,happy
6150,évaluer,assess
6151,célébrités,celebrities
6152,convaincant,convincing
6153,pardonnerai,will forgive
6154,préparait,prepared
6155,revaudrai,reguerful
6156,créés,created
6157,recommences,Reduments
6158,bruyant,noisy
6159,cady,Cady
6160,respectez,respect
6161,admettons,let's admit
6162,proviseur,principal
6163,idiotes,idiots
6164,courbe,curve
6165,revendre,resell
6166,adolescent,teenager
6167,redevable,liable
6168,réglée,set
6169,tirage,draw
6170,raisins,grapes
6171,puanteur,stench
6172,bea,Bea
6173,dreyfus,dreyfus
6174,perdants,losers
6175,fry,fry
6176,sanguin,blood
6177,psychotique,psychotic
6178,albums,album
6179,valentine,valentine
6180,lesbiennes,lesbian
6181,alien,Alien
6182,mails,emails
6183,négros,negros
6184,prétendant,pretender
6185,toronto,toronto
6186,bagarres,fights
6187,arsenal,arsenal
6188,décidera,will decide
6189,abominable,abominable
6190,rigueur,rigor
6191,enfers,hell
6192,rendons,let's go back
6193,tailler,cut
6194,forge,forge
6195,turquie,Türkiye
6196,fabrication,manufacturing
6197,promettez,promise
6198,gardera,will guard
6199,travaillerai,will work
6200,cultiver,cultivate
6201,enseignant,teacher
6202,sordide,sordid
6203,enjeu,stakes
6204,raisonner,reason
6205,bourre,flock
6206,suggestions,suggestions
6207,grecque,Greek
6208,joies,joys
6209,manœuvre,maneuver
6210,hectares,hectares
6211,scarlett,scarlett
6212,recrues,recruits
6213,talon,heel
6214,contenait,contained
6215,pudding,pudding
6216,massacré,massacre
6217,bertha,Bertha
6218,procédures,procedures
6219,gun,gun
6220,kgb,kgb
6221,réside,resides
6222,punie,punished
6223,autorisés,authorized
6224,réciproque,reciprocal
6225,chevilles,ankle
6226,jettent,throw
6227,amusait,amused
6228,européens,Europeans
6229,descendue,descend
6230,remette,put back
6231,honneurs,honors
6232,samson,Samson
6233,poulette,chicken
6234,abandonnerai,will abandon
6235,rêvent,dream
6236,hurlant,scurry
6237,complications,complications
6238,descendons,let's go down
6239,sursis,reprieve
6240,morsure,bite
6241,sacrées,sacred
6242,humiliant,humiliating
6243,turcs,Turkish
6244,éteinte,extinguished
6245,offrent,offer
6246,parlerais,would speak
6247,poney,pony
6248,tentatives,attempts
6249,habitués,regulars
6250,gretchen,gretchen
6251,enfoncé,pressed
6252,doctorat,doctorate
6253,dessein,design
6254,collision,collision
6255,louper,miss
6256,gémissements,groan
6257,transition,transition
6258,ferrari,ferrari
6259,emilio,Emilio
6260,observez,observe
6261,tabassé,beaten
6262,free,free
6263,lori,lori
6264,fraîches,fresh
6265,creusé,dig
6266,loisirs,hobbies
6267,chow,chow
6268,insensible,insensitive
6269,basée,based
6270,contagieux,contagious
6271,foulard,scarf
6272,artificielle,artificial
6273,dentifrice,toothpaste
6274,calmé,calme
6275,alla,alla
6276,dansait,was dancing
6277,montés,mounted
6278,timothy,Timothy
6279,similaire,similar
6280,soutiens,support
6281,retournera,return to
6282,proverbe,proverb
6283,cdt,cdt
6284,mustang,mustang
6285,dance,dance
6286,cain,Cain
6287,cassie,cassie
6288,bagnoles,car
6289,cherie,Dear
6290,paolo,paolo
6291,tate,tate
6292,ninja,ninja
6293,blade,black
6294,icitte,icitte
6295,moralité,morality
6296,différences,differences
6297,pong,pong
6298,garant,guarantor
6299,étrangement,strangely
6300,dorée,gilded
6301,encontre,against
6302,splendeur,splendor
6303,signor,signor
6304,chèvres,goats
6305,adolescents,adolescents
6306,sécurisé,secure
6307,kidnapping,kidnapping
6308,rates,rats
6309,charmants,charming
6310,ciment,cement
6311,fisc,tax
6312,cassés,broken
6313,loto,lotto
6314,enduré,endured
6315,jennings,Jennings
6316,greta,Greta
6317,envisagé,planned
6318,souriant,smiling
6319,minus,minus
6320,hébreu,Hebrew
6321,bousiller,scrub
6322,sdf,homeless
6323,écrivains,writers
6324,tanner,tan
6325,essayent,try
6326,herbie,herbie
6327,ohh,ohh
6328,follement,madly
6329,montait,was riding
6330,héroïque,heroic
6331,marient,marry
6332,achètera,will buy
6333,plane,plane
6334,neuves,new
6335,abondance,plenty
6336,visiontext,VisionText
6337,dédié,dedicated
6338,melon,melon
6339,préférais,prefer
6340,frisson,thrill
6341,rancard,date
6342,redescendre,come back
6343,secoue,shaken
6344,pingouin,Penguin
6345,clive,clive
6346,rajouter,add
6347,cactus,cactus
6348,jenkins,Jenkins
6349,lawson,Lawson
6350,piégés,trapped
6351,colocataire,roommate
6352,joker,joker
6353,crocs,crocs
6354,ramona,ramona
6355,thune,THUNE
6356,grossir,get fat
6357,cavernes,cave
6358,détruisez,Destroy
6359,passa,pass
6360,bird,sneaky
6361,hongrois,Hungarian
6362,croyance,belief
6363,princes,princes
6364,ramper,crawl
6365,fouine,raw
6366,déplacement,shift
6367,signée,signed
6368,bison,bison
6369,pénitencier,penitentiary
6370,regarderai,will look
6371,hoover,hoover
6372,prétendu,alleged
6373,complicité,complicity
6374,vaudou,voodoo
6375,clochard,hobo
6376,titanic,titanic
6377,stacy,stacy
6378,whale,whale
6379,dudley,dudley
6380,kenneth,Kenneth
6381,totalité,totality
6382,hopital,hospital
6383,valerie,valerie
6384,gomme,eraser
6385,profondeurs,depths
6386,heil,heil
6387,médium,medium
6388,limitée,limited
6389,julien,Julian
6390,restau,restaurant
6391,malley,Malley
6392,music,music
6393,fran,French
6394,diaz,diaz
6395,surfer,surf
6396,liam,Liam
6397,marde,marde
6398,vingtaine,around twenty
6399,herb,herb
6400,réparations,repairs
6401,taverne,tavern
6402,situé,located
6403,permettrai,will allow
6404,johan,Johan
6405,massif,massive
6406,money,Money
6407,metteur,director
6408,spécialistes,specialists
6409,européenne,European
6410,réduite,scaled down
6411,campement,camp
6412,ampleur,extent
6413,sincères,sincere
6414,lucille,Luke
6415,partiras,will leave
6416,grains,grains
6417,lucifer,Lucifer
6418,immoral,immoral
6419,activer,enable
6420,mourrait,would die
6421,relance,RELAUNCH
6422,rejeter,dismiss
6423,dakota,dakota
6424,ratés,failed
6425,clint,clint
6426,souhaiterais,would like
6427,nickel,nickel
6428,repasserai,will iron
6429,vocabulaire,vocabulary
6430,préciser,to specify
6431,toxiques,toxic
6432,merveilleuses,marvelous
6433,trempe,caliber
6434,appellerais,call
6435,poètes,poets
6436,couture,sewing
6437,fonctionnaires,civil servants
6438,miriam,MIRIAM
6439,santos,santos
6440,gourou,guru
6441,ginny,ginny
6442,samba,samba
6443,regina,Regina
6444,queens,queens
6445,disco,disco
6446,chloe,chloe
6447,stifler,stifler
6448,cries,cries
6449,lana,Lana
6450,contraint,constrained
6451,flot,flood
6452,vaguement,vaguely
6453,utilisons,use
6454,locomotive,locomotive
6455,génies,geniuses
6456,jose,jose
6457,noce,wedding
6458,neptune,Neptune
6459,ingénieurs,engineers
6460,coleman,Coleman
6461,guet,watch
6462,chialer,complaining
6463,montrait,showed
6464,séché,dried
6465,championne,champion
6466,willow,Willow
6467,patsy,patsy
6468,butch,butch
6469,iaisser,iaisse
6470,excentrique,eccentric
6471,éclairs,lightning
6472,faisable,feasible
6473,norton,Norton
6474,poumon,lung
6475,blindé,shielded
6476,activez,activate
6477,lama,lama
6478,dauphin,dolphin
6479,lèvre,lip
6480,two,Two
6481,pamela,Pamela
6482,chapman,chapman
6483,luisa,luisa
6484,braddock,brad
6485,panda,panda
6486,shaolin,shaolin
6487,mulder,mulder
6488,sadique,sadistic
6489,réfléchit,reflect
6490,passeras,will pass
6491,râler,groan
6492,suffisent,are enough
6493,cuite,cooked
6494,misérables,miserable
6495,inventeur,inventor
6496,vieillesse,old age
6497,vaille,valiant
6498,mare,pond
6499,protégera,will protect
6500,préférence,preference
6501,considération,consideration
6502,parvenu,reached
6503,débarquement,landing
6504,ferrée,rail
6505,desole,Sorry
6506,testicules,testicles
6507,tell,tell
6508,prospère,prosperous
6509,gag,gag
6510,deviendrait,would become
6511,allan,Allan
6512,tasses,cups
6513,honoraires,fees
6514,débats,debates
6515,seymour,seymour
6516,radical,radical
6517,négative,negative
6518,adolf,adolf
6519,houdini,houdini
6520,emprisonné,imprisoned
6521,mangeant,eating
6522,dague,dagger
6523,slade,slade
6524,shirts,shirts
6525,adoption,adoption
6526,novak,novak
6527,dev,dev
6528,séoul,scramble
6529,cox,cox
6530,soo,soo
6531,evi,EVI
6532,barcelone,Barcelona
6533,forom,forom
6534,poire,pear
6535,croyiez,believe
6536,changeons,let's change
6537,dévouement,dedication
6538,muette,mute
6539,travaillaient,worked
6540,carrefour,crossroads
6541,nette,clear
6542,labyrinthe,labyrinth
6543,sotte,stunned
6544,vibrations,vibes
6545,serge,serge
6546,pardonnera,will forgive
6547,changée,changed
6548,killer,killer
6549,bracelets,bracelets
6550,politicien,politician
6551,arrangerai,arrange
6552,darwin,darwin
6553,bruns,brown
6554,inquiétant,disturbing
6555,prévoit,provides
6556,espéce,species
6557,oranges,oranges
6558,estimer,to estimate
6559,ames,souls
6560,garée,parked
6561,morton,Morton
6562,russ,Russ
6563,leroy,leroy
6564,développe,developed
6565,crazy,crazy
6566,relié,bound
6567,scully,scully
6568,rush,rush
6569,iran,Iran
6570,chun,chun
6571,mentalement,mentally
6572,dansant,dancing
6573,oserais,dare
6574,évènements,events
6575,envoyait,sent
6576,noeuds,knots
6577,élégance,elegance
6578,déposez,DO
6579,souhaites,wishes
6580,vêtement,garment
6581,fascistes,fascists
6582,volante,flying
6583,billes,balls
6584,ridiculiser,ridicule
6585,danseuses,dancers
6586,agences,agencies
6587,diraient,would say
6588,achetés,bought
6589,définitif,final
6590,pleuvait,rained
6591,vieillit,aged
6592,providence,providence
6593,couloirs,corridors
6594,deviendrai,will become
6595,blouse,blouse
6596,toni,toni
6597,inculpé,accused
